User Link,Reputation
"77779","49955"
"1057","49954"
"142637","49909"
"1414562","49896"
"12707","49871"
"295783","49839"
"690854","49768"
"1745001","49737"
"23199","49720"
"1786","49716"
"48684","49695"
"302916","49644"
"39677","49609"
"2357112","49603"
"398968","49589"
"1281433","49576"
"5728","49572"
"187697","49545"
"366377","49518"
"1735406","49493"
"54420","49488"
"40655","49467"
"960757","49436"
"97828","49397"
"104184","49379"
"89806","49330"
"341750","49324"
"13430","49246"
"548696","49182"
"680925","49168"
"8355","49164"
"597607","49140"
"717383","49112"
"157237","49071"
"319403","49038"
"1505939","49003"
"3603","49001"
"365496","48993"
"113141","48963"
"751090","48961"
"353410","48929"
"15955","48890"
"16363","48841"
"3916","48832"
"726361","48646"
"183172","48614"
"3001626","48559"
"916657","48491"
"251173","48482"
"35364","48478"
"228171","48469"
"98401","48439"
"468793","48351"
"12349","48247"
"1219006","48133"
"670396","48133"
"691688","48104"
"396458","48080"
"13018","48047"
"901048","48015"
"456814","48012"
"15809","47956"
"118903","47949"
"59501","47920"
"81179","47874"
"421195","47864"
"69802","47840"
"428790","47770"
"80860","47754"
"168175","47723"
"107744","47706"
"859154","47680"
"562459","47620"
"128940","47611"
"1719752","47607"
"51816","47591"
"387076","47356"
"3832970","47302"
"134830","47297"
"844882","47238"
"874188","47228"
"119634","47220"
"52626","47141"
"392","47113"
"60261","47015"
"9859","47005"
"297408","46939"
"603977","46931"
"145403","46918"
"2380830","46827"
"82586","46796"
"1003917","46779"
"198643","46778"
"369707","46769"
"2611","46742"
"427083","46675"
"1529853","46519"
"3571","46494"
"78374","46465"
"2530848","46445"
"207248","46443"
"134554","46443"
"893780","46422"
"681865","46413"
"330057","46390"
"1139697","46325"
"3250829","46296"
"159270","46254"
"345717","46252"
"1256452","46237"
"1864976","46207"
"40516","46166"
"84270","46123"
"14089","46112"
"2603","46103"
"210578","46056"
"381345","46054"
"241462","46011"
"14660","45997"
"297762","45985"
"44084","45964"
"156695","45964"
"496445","45927"
"2711488","45924"
"22459","45892"
"214790","45879"
"48523","45841"
"16632","45798"
"8427","45769"
"127893","45761"
"256618","45709"
"23070","45678"
"140816","45590"
"27862","45573"
"1578604","45513"
"527185","45492"
"1136211","45477"
"49485","45465"
"71522","45408"
"1094597","45396"
"116923","45358"
"704848","45332"
"211116","45329"
"41665","45329"
"18157","45287"
"127059","45277"
"331508","45255"
"1627235","45238"
"18511","45236"
"95589","45235"
"201199","45226"
"107415","45195"
"4642","45194"
"217408","45168"
"2847","45157"
"93448","45153"
"53897","45109"
"47453","45077"
"616700","45074"
"412916","45024"
"160206","44985"
"163203","44956"
"20938","44883"
"85134","44882"
"1870803","44803"
"254279","44785"
"447356","44782"
"45","44717"
"90527","44687"
"35501","44680"
"493122","44678"
"296974","44658"
"82156","44646"
"5441","44552"
"321946","44552"
"41360","44526"
"48492","44486"
"215966","44436"
"68507","44402"
"78259","44385"
"9345","44381"
"812912","44344"
"47550","44340"
"73681","44326"
"397861","44210"
"65070","44161"
"39933","44145"
"390330","44141"
"726863","44135"
"20578","44091"
"180784","44085"
"158676","44031"
"295264","44005"
"1945651","44004"
"44562","43981"
"30225","43970"
"217324","43956"
"4853","43955"
"64174","43947"
"478884","43946"
"7116","43931"
"156142","43904"
"1438393","43855"
"227299","43849"
"39975","43838"
"565635","43829"
"637853","43823"
"199245","43786"
"8454","43777"
"119895","43754"
"121493","43752"
"950147","43714"
"383402","43714"
"149808","43702"
"984823","43694"
"573626","43681"
"10947","43676"
"2144390","43662"
"22364","43634"
"8279","43626"
"286871","43616"
"81769","43613"
"444991","43597"
"541038","43548"
"358221","43540"
"8655","43539"
"254528","43525"
"1521179","43484"
"632337","43477"
"62024","43459"
"576875","43431"
"3293881","43408"
"102441","43374"
"235698","43348"
"507519","43339"
"127320","43335"
"110707","43229"
"1628832","43172"
"74022","43129"
"1195080","43121"
"4435","43087"
"961526","43081"
"418715","43019"
"2189127","42994"
"1693173","42991"
"72247","42982"
"4926","42939"
"3848","42938"
"1079354","42935"
"60096","42928"
"45249","42857"
"238886","42836"
"166686","42832"
"960558","42822"
"5628","42778"
"342235","42715"
"861716","42656"
"358970","42651"
"244297","42649"
"2296458","42553"
"240733","42512"
"330565","42509"
"600500","42502"
"106159","42455"
"808486","42436"
"245860","42415"
"98038","42368"
"249933","42339"
"44743","42319"
"1275169","42319"
"13279","42260"
"272824","42256"
"23234","42234"
"358679","42229"
"372239","42224"
"189950","42222"
"216063","42212"
"13724","42170"
"626273","42155"
"797","42137"
"1427878","42132"
"710446","42100"
"722121","42092"
"17833","42080"
